level0;level1;level2;level3;level4;itemname;itemid;inventlocationid;date;qty20;forecast20;qty19
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;16.12.2020 0:00;0;55,13969217;69
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;17.12.2020 0:00;0;52,26984206;79
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;18.12.2020 0:00;0;56,80926935;67
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;19.12.2020 0:00;0;47,40971123;106
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;20.12.2020 0:00;0;52,49368124;61
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;21.12.2020 0:00;0;53,67034896;105
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;22.12.2020 0:00;0;52,73157601;81
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;23.12.2020 0:00;0;52,86549793;90
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;24.12.2020 0:00;0;47,66401668;76
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;25.12.2020 0:00;0;54,5915746;79
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;26.12.2020 0:00;0;60,23428211;55
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;27.12.2020 0:00;0;68,75989093;47
опндсйрш;FRESH-1;лнкнвмше опндсйрш;лнкнйн;лнкнйн оюярепхгнбюммне;лнкнйн оепбши бйся 1000цп 2,5% о/о;80006;09_ням;28.12.2020 0:00;0;68,75916255;58
